@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute Action {North,South,East,West,Stop}

@data
2,11,East,11,5,10,15,0,0,1,1,East
3,11,East,11,5,9,13,0,0,1,1,East
4,11,East,9,4,9,12,0,0,1,1,East
5,11,East,8,3,8,12,0,1,1,1,East
6,11,East,8,3,7,10,0,1,1,1,East
7,11,East,8,3,5,10,0,0,1,1,East
8,11,East,10,3,5,8,0,0,1,1,East
9,11,East,11,5,5,6,0,0,1,1,East
10,11,East,13,6,5,5,0,1,1,1,East
11,11,East,13,6,3,5,0,1,1,1,East
12,11,East,13,6,3,5,0,0,1,1,East
13,11,East,13,7,3,3,0,0,1,1,East
14,11,East,14,9,2,4,0,1,1,1,East
15,11,East,16,11,3,4,0,0,1,1,East
16,11,East,16,12,5,6,0,0,1,1,East
17,11,East,16,13,7,6,0,0,1,1,East
18,11,East,18,15,9,8,0,1,1,0,South
18,10,South,16,17,7,8,1,1,0,0,South
18,9,South,14,17,7,8,1,1,1,0,South
18,8,South,13,19,7,7,1,1,1,0,South
18,7,South,11,21,7,6,1,1,1,0,South
18,6,South,9,21,7,5,1,1,0,0,South
18,5,South,9,23,7,4,1,1,1,0,West
17,5,West,7,21,5,2,0,1,1,1,West
16,5,West,5,19,5,1,0,1,1,1,West
15,5,West,3,18,4,-1,0,1,1,1,West
