@relation 'all_data_pacman-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute 'Pacman y' numeric
@attribute ' prev_direction' {Stop,East,South,West,North}
@attribute ' score' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,East
11,East,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,-9,East
11,East,-10,East
11,East,189,East
11,East,188,South
10,South,187,South
9,South,186,South
8,South,185,West
8,West,184,West
8,West,183,West
8,West,182,West
8,West,181,West
8,West,180,South
7,South,179,Stop
7,South,178,East
7,East,177,East
7,East,176,East
7,East,175,East
7,East,174,North
8,North,173,North
9,North,172,West
9,West,171,West
9,West,170,West
9,West,169,West
9,West,168,West
9,West,167,South
8,South,366,South
7,South,365,Stop
7,South,364,East
7,East,363,East
7,East,362,East
7,East,361,West
7,West,360,West
7,West,359,West
7,West,358,West
7,West,357,West
7,West,356,West
7,West,355,South
6,South,354,South
5,South,353,East
5,East,352,East
5,East,351,East
5,East,350,East
5,East,349,South
4,South,348,West
4,West,347,West
4,West,346,West
4,West,545,South
3,South,544,Stop
3,South,543,Stop
3,South,542,North
4,North,541,South
3,South,540,Stop
3,South,539,East
3,East,538,East
3,East,537,East
3,East,536,East
3,East,535,East
3,East,534,East
3,East,533,East
3,East,532,East
3,East,531,East
3,East,530,North
4,North,529,North
5,North,528,Stop
5,North,527,East
5,East,526,East
5,East,525,East
5,East,524,North
6,North,523,North
7,North,522,North
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,Stop
11,Stop,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,-9,East
11,East,-10,East
11,East,-11,East
11,East,188,East
11,East,187,East
11,East,186,East
11,East,185,East
11,East,184,East
11,East,183,South
10,South,282,South
9,South,281,South
8,South,280,South
7,South,279,South
6,South,278,South
5,South,277,West
5,West,276,West
5,West,275,West
5,West,274,West
5,West,273,West
5,West,272,North
6,North,271,North
7,North,470,North
8,North,469,West
8,West,468,West
8,West,467,West
8,West,466,West
8,West,465,West
8,West,464,West
8,West,463,West
8,West,462,West
8,West,461,North
9,North,460,North
10,North,659,North
11,North,658,Stop
11,North,657,East
11,East,656,East
11,East,655,East
11,East,654,East
11,East,653,South
10,South,652,South
9,South,651,South
8,South,650,South
7,South,649,East
7,East,648,East
7,East,647,East
7,East,646,South
6,South,645,South
5,South,644,South
4,South,643,East
11,Stop,0,Stop
11,Stop,-1,Stop
11,Stop,-2,Stop
11,Stop,-3,Stop
11,Stop,-4,East
11,East,-5,East
11,East,-6,East
11,East,-7,East
11,East,-8,East
11,East,191,East
11,East,190,East
11,East,189,East
11,East,188,East
11,East,187,South
10,South,186,South
9,South,185,South
8,South,184,South
7,South,183,South
6,South,282,West
6,West,481,West
6,West,480,Stop
6,West,479,South
5,South,478,South
4,South,477,South
3,South,476,Stop
3,South,475,West
3,West,474,West
3,West,473,West
3,West,472,North
4,North,471,North
5,North,470,East
5,East,469,East
5,East,468,East
5,East,467,East
5,East,466,South
4,South,665,South
3,South,664,Stop
3,South,663,Stop
3,South,662,East
3,East,661,East
3,East,660,North
4,North,659,North
5,North,658,East
5,East,657,East
5,East,656,East
5,East,655,North
6,North,654,North
7,North,653,North
8,North,652,North
9,North,651,North
10,North,750,North
11,North,749,West
11,West,748,West
11,West,747,West
11,West,746,West
11,West,745,South
10,South,744,South
9,South,743,South
8,South,742,South
7,South,741,South
6,South,740,South
5,South,739,East
5,East,738,East
5,East,737,East
5,East,736,East
5,East,735,East
5,East,734,East
5,East,733,East
5,East,732,East
