@relation 'subset1'

@attribute 'Pacman x' numeric
@attribute ' num living ghosts' numeric
@attribute ' direction' {Stop,East,South,West,North}

@data
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,4,East
8,4,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,West
5,3,South
5,3,Stop
5,3,East
6,3,East
7,3,East
8,3,East
9,3,North
9,3,North
9,3,West
8,3,West
7,3,West
6,3,West
5,3,West
4,3,South
4,2,South
4,2,Stop
4,2,East
5,2,East
6,2,East
7,2,West
6,2,West
5,2,West
4,2,West
3,2,West
2,2,West
1,2,South
1,2,South
1,2,East
2,2,East
3,2,East
4,2,East
5,2,South
5,2,West
4,2,West
3,2,West
2,1,South
2,1,Stop
2,1,Stop
2,1,North
2,1,South
2,1,Stop
2,1,East
3,1,East
4,1,East
5,1,East
6,1,East
7,1,East
8,1,East
9,1,East
10,1,East
11,1,North
11,1,North
11,1,Stop
11,1,East
12,1,East
13,1,East
14,1,North
14,1,North
14,1,North
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,4,East
8,4,East
9,3,East
10,3,East
11,3,East
12,3,East
13,3,East
14,3,South
14,3,South
14,3,South
14,3,South
14,3,South
14,3,South
14,3,West
13,3,West
12,3,West
11,3,West
10,3,West
9,3,North
9,3,North
9,2,North
9,2,West
8,2,West
7,2,West
6,2,West
5,2,West
4,2,West
3,2,West
2,2,West
1,2,North
1,2,North
1,1,North
1,1,Stop
1,1,East
2,1,East
3,1,East
4,1,East
5,1,South
5,1,South
5,1,South
5,1,South
5,1,East
6,1,East
7,1,East
8,1,South
8,1,South
8,1,South
8,1,East
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,3,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,West
9,2,West
8,2,Stop
8,2,South
8,2,South
8,2,South
8,2,Stop
8,2,West
7,2,West
6,2,West
5,2,North
5,2,North
5,2,East
6,2,East
7,2,East
8,2,East
9,2,South
9,1,South
9,1,Stop
9,1,Stop
9,1,East
10,1,East
11,1,North
11,1,North
11,1,East
12,1,East
13,1,East
14,1,North
14,1,North
14,1,North
14,1,North
14,1,North
14,1,North
14,1,West
13,1,West
12,1,West
11,1,West
10,1,South
10,1,South
10,1,South
10,1,South
10,1,South
10,1,South
10,1,East
11,1,East
12,1,East
13,1,East
14,1,East
15,1,East
16,1,East
17,1,East
18,1,Stop
18,1,North
18,1,North
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,4,East
8,4,East
9,4,East
10,4,East
11,4,East
12,4,East
13,4,East
14,4,South
14,4,South
14,4,South
14,4,East
15,4,East
16,4,East
17,4,East
18,4,West
17,4,West
16,4,West
15,4,West
14,3,North
14,3,North
14,3,North
14,3,Stop
14,3,West
13,3,West
12,3,West
11,3,West
10,3,West
9,3,West
8,3,West
7,3,West
6,2,West
5,2,South
5,2,South
5,2,South
5,2,South
5,2,West
4,2,West
3,1,West
2,1,North
2,1,North
2,1,Stop
2,1,Stop
2,1,West
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,4,East
8,4,East
9,4,East
10,4,South
10,4,South
10,4,East
11,4,East
12,3,East
13,3,East
14,2,East
15,2,East
16,2,East
17,2,East
18,2,South
18,2,South
18,2,South
18,2,South
18,2,West
17,2,West
16,2,West
15,2,West
14,2,West
13,2,West
12,2,West
11,2,South
11,2,South
11,2,Stop
11,1,West
10,1,West
9,1,West
8,1,North
8,1,North
8,1,North
8,1,North
8,1,North
8,1,North
8,1,East
9,1,East
10,1,South
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,3,East
7,2,East
8,2,East
9,2,East
10,2,South
10,2,South
10,2,South
10,2,South
10,2,South
10,2,South
10,2,West
9,2,West
8,2,West
7,2,West
6,2,South
6,2,South
6,2,Stop
6,2,East
7,2,East
8,2,East
9,2,East
10,2,East
11,2,North
11,2,North
11,2,Stop
11,2,Stop
11,2,West
10,2,West
9,2,West
8,2,West
7,2,West
6,2,West
5,1,West
4,1,West
3,1,West
2,1,West
1,1,East
2,1,East
3,1,East
4,1,East
5,1,East
6,1,East
7,1,East
8,1,East
9,1,East
10,1,East
11,1,East
12,1,East
13,1,East
14,1,East
15,1,South
15,1,South
15,1,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,West
5,3,West
4,2,West
3,2,West
2,2,West
1,2,East
2,2,East
3,2,East
4,2,East
5,2,East
6,2,East
7,2,East
8,2,East
9,2,East
10,2,East
11,2,East
12,2,East
13,2,East
14,2,West
13,2,West
12,2,West
11,1,West
10,1,West
9,1,West
8,1,West
7,1,South
7,1,South
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,South
6,3,South
6,3,East
7,2,East
8,2,North
8,2,North
8,2,Stop
8,2,South
8,1,South
8,1,South
8,1,South
8,1,South
8,1,South
8,1,West
7,1,West
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,2,West
7,2,West
6,2,West
5,1,West
4,1,West
3,1,West
2,1,West
1,1,South
1,1,South
1,1,East
2,1,East
3,1,East
4,1,East
5,1,East
6,1,East
7,1,East
8,1,East
9,1,East
10,1,East
11,1,East
12,1,East
13,1,South
13,1,South
13,1,East
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,3,East
6,3,East
7,3,East
8,3,East
9,2,East
10,2,East
11,2,East
12,2,East
13,2,East
14,2,South
14,2,South
14,2,South
14,2,South
14,2,South
14,2,South
14,1,East
15,1,East
16,1,East
17,1,West
16,1,West
15,1,West
14,1,West
13,1,West
12,1,West
11,1,West
10,1,West
9,1,West
8,1,West
7,1,South
7,1,South
7,1,Stop
7,1,Stop
7,1,East
8,1,East
9,1,East
10,1,East
11,1,Stop
11,1,North
11,1,North
11,1,Stop
11,1,West
10,1,West
9,1,West
8,1,West
7,1,West
6,1,South
6,1,South
6,1,Stop
6,1,East
7,1,East
8,1,East
9,1,East
10,1,East
11,1,Stop
11,1,North
11,1,North
11,1,Stop
11,1,West
1,4,Stop
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,3,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,West
5,3,West
4,3,West
3,3,North
3,2,Stop
3,2,Stop
3,2,Stop
3,2,East
4,2,East
5,2,East
6,2,East
7,2,East
8,2,East
9,2,South
9,2,South
9,2,South
9,2,South
9,2,West
8,2,West
7,2,West
6,2,West
5,1,West
4,1,West
3,1,East
4,1,East
5,1,East
6,1,East
7,1,East
8,1,East
9,1,East
10,1,East
11,1,East
12,1,East
13,1,South
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,3,East
6,3,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,West
5,3,West
4,2,West
3,2,West
2,2,West
1,2,South
1,2,South
1,2,South
1,2,South
1,2,South
1,2,Stop
1,2,East
2,2,East
3,2,East
4,2,East
5,2,East
6,2,East
7,2,East
8,2,North
8,2,North
8,2,North
8,1,North
8,1,North
8,1,North
8,1,East
9,1,East
10,1,East
11,1,East
12,1,East
13,1,South
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,3,East
8,3,East
9,3,East
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,South
10,3,West
9,3,West
8,3,West
7,3,West
6,3,West
5,3,West
4,3,West
3,3,West
2,2,West
1,2,North
1,2,North
1,2,East
2,2,East
3,2,East
4,2,East
5,2,East
6,2,East
7,2,East
8,2,East
9,2,East
10,2,East
11,2,East
12,2,East
13,2,East
14,2,South
14,2,South
14,2,Stop
14,2,East
15,2,East
16,2,East
17,1,East
18,1,Stop
18,1,North
18,1,North
18,1,North
18,1,North
18,1,West
17,1,West
16,1,West
15,1,North
15,1,North
15,1,Stop
15,1,East
16,1,East
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,4,East
6,4,East
7,4,East
8,4,East
9,4,East
10,4,East
11,4,East
12,4,East
13,4,East
14,4,South
14,4,South
14,4,South
14,4,South
14,4,South
14,4,South
14,4,South
14,4,South
14,4,West
13,3,Stop
13,3,North
13,3,North
13,3,West
12,3,West
11,3,West
10,3,West
9,3,South
9,3,South
9,3,Stop
9,3,East
10,3,East
11,2,North
11,2,North
11,2,Stop
11,2,Stop
11,2,West
10,2,West
9,2,North
9,2,North
9,2,North
9,2,East
10,2,Stop
10,2,Stop
10,2,South
10,1,South
10,1,South
10,1,West
9,1,West
8,1,West
7,1,West
6,1,West
5,1,West
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,3,East
6,2,East
7,2,East
8,2,East
9,2,East
10,2,South
10,2,South
10,2,South
10,2,South
10,2,South
10,2,South
10,2,East
11,2,East
12,2,East
13,2,East
14,2,East
15,2,East
16,2,East
17,2,East
18,2,Stop
18,2,West
17,2,West
16,2,West
15,2,West
14,2,North
14,2,North
14,2,North
14,1,West
13,1,West
12,1,Stop
12,1,Stop
12,1,South
12,1,Stop
12,1,North
12,1,North
12,1,Stop
12,1,West
11,1,West
10,1,South
10,1,South
10,1,South
10,1,South
1,4,Stop
1,4,Stop
1,4,Stop
1,4,East
2,4,East
3,4,East
4,4,East
5,3,East
6,2,East
7,2,East
8,2,East
9,2,East
10,2,East
11,2,East
12,2,East
13,2,East
14,2,South
14,2,South
14,2,South
14,2,South
14,2,South
14,2,South
14,2,West
13,2,West
12,2,West
11,2,West
10,2,West
9,2,West
8,2,South
8,1,South
8,1,Stop
8,1,Stop
8,1,East
9,1,East
10,1,East
11,1,North
11,1,North
11,1,Stop
11,1,Stop
11,1,Stop
11,1,East
12,1,East
13,1,East
14,1,North
14,1,North
14,1,North
14,1,North
14,1,East
15,1,East
16,1,East
17,1,East
18,1,South
18,1,South
18,1,South
