@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}

@data
2,11,East,4,4,11,8,5,16,-4,0,0,1,1,2,13,East
3,11,East,4,4,11,7,5,15,-5,0,0,1,1,2,12,East
4,11,East,4,4,9,7,3,14,-6,0,0,1,1,2,11,East
5,11,East,4,4,9,6,1,14,-7,0,1,1,1,2,10,East
6,11,East,4,3,9,4,-1,12,192,0,1,1,1,2,9,East
7,11,East,4,3,7,4,-1,12,191,0,0,1,1,2,8,East
8,11,East,4,3,8,4,-1,10,190,0,0,1,1,2,7,East
9,11,East,4,3,10,5,-1,8,189,0,0,1,1,2,6,East
10,11,East,4,3,12,6,-1,8,188,0,1,1,1,2,5,South
10,10,South,4,3,11,4,-1,6,187,1,1,0,1,2,4,South
10,9,South,4,3,9,2,-1,4,186,1,1,1,1,2,3,South
10,8,South,4,2,8,-1,-1,6,385,1,1,1,0,2,2,South
10,7,South,4,2,6,-1,-1,7,384,1,1,1,0,2,1,South
10,6,South,4,2,4,-1,-1,7,483,1,1,1,0,1,8,South
10,5,South,4,2,3,-1,-1,7,482,1,1,1,1,1,9,West
9,5,West,4,2,1,-1,-1,7,481,1,1,1,1,1,10,West
8,5,West,4,1,-1,-1,-1,7,680,1,1,1,1,1,11,West
7,5,West,4,1,-1,-1,-1,9,679,0,1,1,1,1,12,West
6,5,West,4,1,-1,-1,-1,11,678,0,1,1,1,1,13,East
7,5,East,4,1,-1,-1,-1,11,677,0,1,1,1,1,12,East
8,5,East,4,1,-1,-1,-1,11,676,1,1,1,1,1,11,East
9,5,East,4,1,-1,-1,-1,10,675,1,1,1,1,1,10,East
10,5,East,4,1,-1,-1,-1,9,674,1,1,1,1,1,9,East
11,5,East,4,1,-1,-1,-1,7,673,0,1,1,1,1,8,East
12,5,East,4,1,-1,-1,-1,5,672,0,0,1,1,1,7,East
13,5,East,4,1,-1,-1,-1,5,671,0,1,1,1,1,6,East
14,5,East,4,1,-1,-1,-1,5,670,1,1,1,1,1,5,South
14,4,South,4,1,-1,-1,-1,6,669,1,1,1,1,1,6,South
14,3,South,4,1,-1,-1,-1,8,668,1,0,1,1,1,7,North
14,4,North,4,1,-1,-1,-1,6,667,1,1,1,1,1,6,North
14,5,North,4,1,-1,-1,-1,6,666,1,1,1,1,1,5,North
14,6,North,4,1,-1,-1,-1,6,665,1,1,0,0,1,4,North
14,7,North,4,1,-1,-1,-1,6,664,1,1,1,1,1,3,North
14,8,North,4,1,-1,-1,-1,6,663,1,1,1,1,1,2,North
14,9,North,4,1,-1,-1,-1,5,662,1,1,1,1,1,1,North
14,10,North,4,1,-1,-1,-1,3,761,1,1,0,0,0,-1,North
14,11,North,4,1,-1,-1,-1,3,760,0,1,1,1,0,-1,West
13,11,West,4,1,-1,-1,-1,2,759,0,0,1,1,0,-1,West
13,11,West,4,1,-1,-1,-1,2,759,0,0,1,1,0,-1,West
15,3,East,4,4,14,14,15,13,-6,1,0,1,1,0,-1,North
15,4,North,4,4,14,13,15,13,-7,1,1,0,0,0,-1,North
15,5,North,4,4,13,13,15,12,-8,0,1,0,1,0,-1,East
16,5,East,4,4,13,15,17,11,-9,0,0,1,1,0,-1,East
17,5,East,4,4,13,15,19,11,-10,0,0,1,1,0,-1,East
18,5,East,4,4,14,16,20,13,-11,1,0,1,0,0,-1,North
18,6,North,4,4,14,16,19,11,-12,1,1,0,0,0,-1,North
18,7,North,4,4,13,14,18,9,-13,1,1,0,0,0,-1,North
18,8,North,4,4,11,14,18,8,-14,0,1,1,1,0,-1,West
17,8,West,4,4,11,12,17,7,-15,0,0,1,1,0,-1,West
16,8,West,4,4,11,10,17,7,-16,0,0,1,1,0,-1,West
15,8,West,4,4,9,9,15,8,-17,1,0,1,1,0,-1,North
15,9,North,4,4,9,9,13,8,-18,1,1,0,0,0,-1,North
15,10,North,4,4,9,8,11,6,-19,1,1,0,0,0,-1,North
15,11,North,4,4,7,7,9,5,-20,0,1,0,1,0,-1,East
16,11,East,4,4,8,8,11,5,-21,0,0,1,1,0,-1,East
17,11,East,4,4,9,8,12,5,-22,0,0,1,1,0,-1,East
18,11,East,4,4,9,10,13,7,-23,0,0,1,1,0,-1,East
19,11,East,4,4,10,11,14,9,-24,1,0,1,1,0,-1,North
19,12,North,4,4,9,11,14,7,-25,1,1,0,0,0,-1,North
19,13,North,4,4,7,10,12,6,-26,1,1,1,0,0,-1,North
19,14,North,4,4,5,8,12,4,-27,1,1,0,0,0,-1,North
19,15,North,4,4,5,8,10,4,-28,1,1,0,1,0,-1,North
19,16,North,4,4,7,10,10,6,-29,1,1,0,0,0,-1,North
19,17,North,4,4,8,9,11,7,-31,0,1,1,0,0,-1,West
18,17,West,4,4,6,8,10,6,-32,0,0,1,1,0,-1,West
17,17,West,4,4,6,6,9,4,-33,0,0,1,1,0,-1,West
16,17,West,4,4,4,4,9,4,-34,0,0,1,1,0,-1,West
15,17,West,4,4,2,2,9,2,-35,1,0,1,1,0,-1,West
14,17,West,4,3,-1,2,9,2,164,0,1,1,1,0,-1,South
14,16,South,4,3,-1,4,9,2,163,1,1,1,0,0,-1,South
14,15,South,4,3,-1,6,10,1,161,1,0,1,1,0,-1,West
13,15,West,4,3,-1,4,8,1,160,1,0,1,1,0,-1,West
12,15,West,4,3,-1,2,7,1,159,0,0,1,1,0,-1,East
13,15,East,4,2,-1,4,7,-1,358,1,0,1,1,0,-1,East
14,15,East,4,2,-1,6,8,-1,357,1,0,1,1,0,-1,East
15,15,East,4,2,-1,6,9,-1,356,0,0,1,1,0,-1,East
16,15,East,4,2,-1,6,9,-1,355,0,0,1,1,0,-1,East
17,15,East,4,2,-1,7,10,-1,354,0,0,1,0,0,-1,West
16,15,West,4,2,-1,7,9,-1,353,0,0,1,1,0,-1,West
15,15,West,4,2,-1,7,8,-1,352,0,0,1,1,0,-1,West
14,15,West,4,2,-1,7,6,-1,351,1,0,1,1,0,-1,North
14,16,North,4,2,-1,6,4,-1,350,1,1,1,0,0,-1,North
14,17,North,4,2,-1,7,4,-1,348,0,1,1,1,0,-1,West
13,17,West,4,2,-1,7,4,-1,347,0,1,1,1,0,-1,West
12,17,West,4,2,-1,7,2,-1,346,1,0,1,1,0,-1,North
12,18,North,4,2,-1,7,1,-1,345,1,1,0,0,0,-1,North
12,19,North,4,1,-1,5,-1,-1,544,1,1,0,0,0,-1,North
