@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R4,6-9,16-weka.filters.unsupervised.attribute.NominalToBinary-R6-9-weka.filters.unsupervised.attribute.AddExpression-Ea6+a7-Nnorth-south-weka.filters.unsupervised.attribute.AddExpression-Ea8+a9-Neast-west-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,12,13,11-weka.filters.unsupervised.attribute.NumericToNominal-R6-9-weka.filters.unsupervised.attribute.NumericToNominal-R11-12'

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute LivingGhost numeric
@attribute PrevScore numeric
@attribute North=1 {0,1}
@attribute South=1 {0,1}
@attribute West=1 {0,1}
@attribute East=1 {0,1}
@attribute FoodNum numeric
@attribute north-south {0,1,2}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
2,11,East,4,-4,0,0,1,1,2,0,2,East
3,11,East,4,-5,0,0,1,1,2,0,2,East
4,11,East,4,-6,0,0,1,1,2,0,2,East
5,11,East,4,-7,0,1,1,1,2,1,2,East
6,11,East,3,192,0,1,1,1,2,1,2,East
7,11,East,3,191,0,0,1,1,2,0,2,East
8,11,East,3,190,0,0,1,1,2,0,2,East
9,11,East,3,189,0,0,1,1,2,0,2,East
10,11,East,3,188,0,1,1,1,2,1,2,South
10,10,South,3,187,1,1,0,1,2,2,1,South
10,9,South,3,186,1,1,1,1,2,2,2,South
10,8,South,2,385,1,1,1,0,2,2,1,South
10,7,South,2,384,1,1,1,0,2,2,1,South
10,6,South,2,483,1,1,1,0,1,2,1,South
10,5,South,2,482,1,1,1,1,1,2,2,West
9,5,West,2,481,1,1,1,1,1,2,2,West
8,5,West,1,680,1,1,1,1,1,2,2,West
7,5,West,1,679,0,1,1,1,1,1,2,West
6,5,West,1,678,0,1,1,1,1,1,2,East
7,5,East,1,677,0,1,1,1,1,1,2,East
8,5,East,1,676,1,1,1,1,1,2,2,East
9,5,East,1,675,1,1,1,1,1,2,2,East
10,5,East,1,674,1,1,1,1,1,2,2,East
11,5,East,1,673,0,1,1,1,1,1,2,East
12,5,East,1,672,0,0,1,1,1,0,2,East
13,5,East,1,671,0,1,1,1,1,1,2,East
