@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R1-2,4-9-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.NominalToBinary-R4-5-weka.filters.unsupervised.attribute.AddExpression-Ea4+a5-Neast-west-weka.filters.unsupervised.attribute.NumericToNominal-R4-5-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,6-weka.filters.unsupervised.attribute.Remove-R4-5-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute PDir {North,South,East,West,Stop}
@attribute PrevScore {'\'(-inf-450.3]\'','\'(450.3-935.6]\'','\'(935.6-1420.9]\'','\'(1420.9-1906.2]\'','\'(1906.2-2391.5]\'','\'(2391.5-2876.8]\'','\'(2876.8-3362.1]\'','\'(3362.1-3847.4]\'','\'(3847.4-4332.7]\'','\'(4332.7-inf)\''}
@attribute North {0,1}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,East
East,'\'(-inf-450.3]\'',0,2,South
South,'\'(-inf-450.3]\'',1,1,South
South,'\'(-inf-450.3]\'',1,2,South
South,'\'(-inf-450.3]\'',1,1,South
South,'\'(-inf-450.3]\'',1,1,South
South,'\'(450.3-935.6]\'',1,1,South
South,'\'(450.3-935.6]\'',1,2,West
West,'\'(450.3-935.6]\'',1,2,West
West,'\'(450.3-935.6]\'',1,2,West
West,'\'(450.3-935.6]\'',0,2,West
West,'\'(450.3-935.6]\'',0,2,East
East,'\'(450.3-935.6]\'',0,2,East
East,'\'(450.3-935.6]\'',1,2,East
East,'\'(450.3-935.6]\'',1,2,East
East,'\'(450.3-935.6]\'',1,2,East
East,'\'(450.3-935.6]\'',0,2,East
East,'\'(450.3-935.6]\'',0,2,East
East,'\'(450.3-935.6]\'',0,2,East
East,'\'(450.3-935.6]\'',1,2,South
South,'\'(450.3-935.6]\'',1,2,South
South,'\'(450.3-935.6]\'',1,2,North
