@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}
@attribute Score numeric

@data
2,11,East,4,4,11,8,5,16,-4,0,0,1,1,2,13,East,-5
3,11,East,4,4,11,7,5,15,-5,0,0,1,1,2,12,East,-6
4,11,East,4,4,9,7,3,14,-6,0,0,1,1,2,11,East,-7
5,11,East,4,4,9,6,1,14,-7,0,1,1,1,2,10,East,192
6,11,East,4,3,9,4,-1,12,192,0,1,1,1,2,9,East,191
7,11,East,4,3,7,4,-1,12,191,0,0,1,1,2,8,East,190
8,11,East,4,3,8,4,-1,10,190,0,0,1,1,2,7,East,189
9,11,East,4,3,10,5,-1,8,189,0,0,1,1,2,6,East,188
10,11,East,4,3,12,6,-1,8,188,0,1,1,1,2,5,South,187
10,10,South,4,3,11,4,-1,6,187,1,1,0,1,2,4,South,186
10,9,South,4,3,9,2,-1,4,186,1,1,1,1,2,3,South,385
10,8,South,4,2,8,-1,-1,6,385,1,1,1,0,2,2,South,384
10,7,South,4,2,6,-1,-1,7,384,1,1,1,0,2,1,South,483
10,6,South,4,2,4,-1,-1,7,483,1,1,1,0,1,8,South,482
10,5,South,4,2,3,-1,-1,7,482,1,1,1,1,1,9,West,481
9,5,West,4,2,1,-1,-1,7,481,1,1,1,1,1,10,West,680
8,5,West,4,1,-1,-1,-1,7,680,1,1,1,1,1,11,West,679
7,5,West,4,1,-1,-1,-1,9,679,0,1,1,1,1,12,West,678
6,5,West,4,1,-1,-1,-1,11,678,0,1,1,1,1,13,East,677
7,5,East,4,1,-1,-1,-1,11,677,0,1,1,1,1,12,East,676
8,5,East,4,1,-1,-1,-1,11,676,1,1,1,1,1,11,East,675
9,5,East,4,1,-1,-1,-1,10,675,1,1,1,1,1,10,East,674
10,5,East,4,1,-1,-1,-1,9,674,1,1,1,1,1,9,East,673
11,5,East,4,1,-1,-1,-1,7,673,0,1,1,1,1,8,East,672
12,5,East,4,1,-1,-1,-1,5,672,0,0,1,1,1,7,East,671
13,5,East,4,1,-1,-1,-1,5,671,0,1,1,1,1,6,East,670
14,5,East,4,1,-1,-1,-1,5,670,1,1,1,1,1,5,South,669
14,4,South,4,1,-1,-1,-1,6,669,1,1,1,1,1,6,South,668
14,3,South,4,1,-1,-1,-1,8,668,1,0,1,1,1,7,North,667
14,4,North,4,1,-1,-1,-1,6,667,1,1,1,1,1,6,North,666
14,5,North,4,1,-1,-1,-1,6,666,1,1,1,1,1,5,North,665
14,6,North,4,1,-1,-1,-1,6,665,1,1,0,0,1,4,North,664
14,7,North,4,1,-1,-1,-1,6,664,1,1,1,1,1,3,North,663
14,8,North,4,1,-1,-1,-1,6,663,1,1,1,1,1,2,North,662
14,9,North,4,1,-1,-1,-1,5,662,1,1,1,1,1,1,North,761
14,10,North,4,1,-1,-1,-1,3,761,1,1,0,0,0,-1,North,760
14,11,North,4,1,-1,-1,-1,3,760,0,1,1,1,0,-1,West,759
13,11,West,4,1,-1,-1,-1,2,759,0,0,1,1,0,-1,West,759
13,11,West,4,1,-1,-1,-1,2,759,0,0,1,1,0,-1,West,957
15,3,East,4,4,14,14,15,13,-6,1,0,1,1,0,-1,North,-7
15,4,North,4,4,14,13,15,13,-7,1,1,0,0,0,-1,North,-8
15,5,North,4,4,13,13,15,12,-8,0,1,0,1,0,-1,East,-9
16,5,East,4,4,13,15,17,11,-9,0,0,1,1,0,-1,East,-10
17,5,East,4,4,13,15,19,11,-10,0,0,1,1,0,-1,East,-11
18,5,East,4,4,14,16,20,13,-11,1,0,1,0,0,-1,North,-12
