@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R4,6-8,11-14,17-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Px numeric
@attribute Py numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Score numeric

@data
2,11,4,16,-4,2,13,-5
3,11,4,15,-5,2,12,-6
4,11,4,14,-6,2,11,-7
5,11,4,14,-7,2,10,192
6,11,3,12,192,2,9,191
7,11,3,12,191,2,8,190
8,11,3,10,190,2,7,189
9,11,3,8,189,2,6,188
10,11,3,8,188,2,5,187
10,10,3,6,187,2,4,186
10,9,3,4,186,2,3,385
10,8,2,6,385,2,2,384
10,7,2,7,384,2,1,483
10,6,2,7,483,1,8,482
10,5,2,7,482,1,9,481
9,5,2,7,481,1,10,680
8,5,1,7,680,1,11,679
7,5,1,9,679,1,12,678
6,5,1,11,678,1,13,677
7,5,1,11,677,1,12,676
8,5,1,11,676,1,11,675
9,5,1,10,675,1,10,674
10,5,1,9,674,1,9,673
11,5,1,7,673,1,8,672
12,5,1,5,672,1,7,671
13,5,1,5,671,1,6,670
14,5,1,5,670,1,5,669
14,4,1,6,669,1,6,668
14,3,1,8,668,1,7,667
14,4,1,6,667,1,6,666
14,5,1,6,666,1,5,665
14,6,1,6,665,1,4,664
14,7,1,6,664,1,3,663
14,8,1,6,663,1,2,662
14,9,1,5,662,1,1,761
14,10,1,3,761,0,-1,760
14,11,1,3,760,0,-1,759
13,11,1,2,759,0,-1,759
13,11,1,2,759,0,-1,957
15,3,4,13,-6,0,-1,-7
15,4,4,13,-7,0,-1,-8
15,5,4,12,-8,0,-1,-9
16,5,4,11,-9,0,-1,-10
17,5,4,11,-10,0,-1,-11
18,5,4,13,-11,0,-1,-12
18,6,4,11,-12,0,-1,-13
18,7,4,9,-13,0,-1,-14
18,8,4,8,-14,0,-1,-15
17,8,4,7,-15,0,-1,-16
16,8,4,7,-16,0,-1,-17
15,8,4,8,-17,0,-1,-18
15,9,4,8,-18,0,-1,-19
15,10,4,6,-19,0,-1,-20
15,11,4,5,-20,0,-1,-21
16,11,4,5,-21,0,-1,-22
17,11,4,5,-22,0,-1,-23
18,11,4,7,-23,0,-1,-24
19,11,4,9,-24,0,-1,-25
19,12,4,7,-25,0,-1,-26
19,13,4,6,-26,0,-1,-27
19,14,4,4,-27,0,-1,-28
19,15,4,4,-28,0,-1,-29
19,16,4,6,-29,0,-1,-30
19,17,4,7,-31,0,-1,-32
18,17,4,6,-32,0,-1,-33
17,17,4,4,-33,0,-1,-34
16,17,4,4,-34,0,-1,-35
15,17,4,2,-35,0,-1,164
14,17,3,2,164,0,-1,163
14,16,3,2,163,0,-1,162
14,15,3,1,161,0,-1,160
13,15,3,1,160,0,-1,159
12,15,3,1,159,0,-1,358
13,15,2,-1,358,0,-1,357
14,15,2,-1,357,0,-1,356
15,15,2,-1,356,0,-1,355
16,15,2,-1,355,0,-1,354
17,15,2,-1,354,0,-1,353
16,15,2,-1,353,0,-1,352
15,15,2,-1,352,0,-1,351
14,15,2,-1,351,0,-1,350
14,16,2,-1,350,0,-1,349
14,17,2,-1,348,0,-1,347
13,17,2,-1,347,0,-1,346
12,17,2,-1,346,0,-1,345
12,18,2,-1,345,0,-1,544
12,19,1,-1,544,0,-1,543
12,20,1,-1,543,0,-1,542
11,20,1,-1,542,0,-1,542
11,20,1,-1,542,0,-1,741
8,1,4,15,89,67,1,88
8,2,4,13,88,67,2,287
8,3,3,13,287,67,2,286
9,3,3,11,286,67,3,285
10,3,3,10,285,67,2,284
11,3,3,10,284,67,2,283
10,3,3,11,283,67,2,282
9,3,3,11,282,67,3,481
9,4,2,10,481,67,2,480
9,5,2,10,480,67,1,579
9,6,2,10,579,66,1,678
9,7,2,12,678,65,1,777
8,7,2,13,777,64,1,876
7,7,2,15,876,63,1,1175
6,7,1,17,1175,62,1,1274
6,6,1,16,1274,61,1,1373
6,5,1,-1,1373,60,1,1372
7,5,1,-1,1372,60,2,1371
8,5,1,-1,1371,60,3,1370
9,5,1,-1,1370,60,2,1369
9,6,1,13,1369,60,1,1368
9,7,1,-1,1368,60,1,1467
10,7,1,13,1467,59,1,1566
11,7,1,11,1566,58,1,1665
12,7,1,9,1665,57,1,1764
13,7,1,9,1764,56,1,1863
13,6,1,8,1863,55,1,1962
13,5,1,8,1962,54,1,2061
14,5,1,-1,2061,53,1,2160
15,5,1,-1,2160,52,1,2259
16,5,1,-1,2259,51,1,2358
17,5,1,-1,2358,50,1,2457
18,5,1,-1,2457,49,1,2556
18,4,1,-1,2556,48,1,2655
18,3,1,-1,2655,47,1,2754
18,2,1,-1,2754,46,1,2754
18,2,1,-1,2754,46,1,2953
2,6,4,14,-8,0,-1,-9
