@relation 'pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R4-9,16-weka.filters.unsupervised.attribute.NominalToBinary-R5-8-weka.filters.unsupervised.attribute.AddExpression-Ea5+a6-Nnorth_south-weka.filters.unsupervised.attribute.AddExpression-Ea7+a8-Nwest_east-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.attribute.NumericToNominal-R8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,10-weka.filters.unsupervised.attribute.NumericToNominal-R10-11-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceeast-west-R11-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replacenorth-south-R10'

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute PrevScore numeric
@attribute North=1 {0,1}
@attribute South=1 {0,1}
@attribute West=1 {0,1}
@attribute East=1 {0,1}
@attribute FoodNum numeric
@attribute north-south {0,1,2}
@attribute east-west {0,1,2}
@attribute Action {North,South,East,West,Stop}

@data
15,3,East,-1,1,0,1,1,0,1,2,North
15,4,North,-2,1,1,0,0,0,2,0,North
15,5,North,-3,0,1,0,1,0,1,1,East
16,5,East,-4,0,0,1,1,0,0,2,East
17,5,East,-5,0,0,1,1,0,0,2,East
18,5,East,-6,1,0,1,0,0,1,1,North
18,6,North,-7,1,1,0,0,0,2,0,North
18,7,North,-8,1,1,0,0,0,2,0,North
18,8,North,-9,0,1,1,1,0,1,2,West
17,8,West,-10,0,0,1,1,0,0,2,West
16,8,West,-11,0,0,1,1,0,0,2,West
15,8,West,-12,1,0,1,1,0,1,2,North
15,9,North,-13,1,1,0,0,0,2,0,North
15,10,North,-14,1,1,0,0,0,2,0,North
15,11,North,-15,0,1,0,1,0,1,1,East
16,11,East,-16,0,0,1,1,0,0,2,East
17,11,East,-17,0,0,1,1,0,0,2,East
18,11,East,-18,0,0,1,1,0,0,2,East
19,11,East,-19,1,0,1,1,0,1,2,North
19,12,North,-20,1,1,0,0,0,2,0,North
19,13,North,-21,1,1,1,0,0,2,1,North
19,14,North,-22,1,1,0,0,0,2,0,North
19,15,North,-23,1,1,0,1,0,2,1,North
19,16,North,-24,1,1,0,0,0,2,0,North
19,17,North,-25,0,1,1,0,0,1,1,West
18,17,West,-26,0,0,1,1,0,0,2,West
17,17,West,-27,0,0,1,1,0,0,2,West
16,17,West,-28,0,0,1,1,0,0,2,West
15,17,West,-29,1,0,1,1,0,1,2,West
14,17,West,-30,0,1,1,1,0,1,2,South
14,16,South,-31,1,1,1,0,0,2,1,South
14,15,South,168,1,0,1,1,0,1,2,West
13,15,West,367,1,0,1,1,0,1,2,West
12,15,West,366,0,0,1,1,0,0,2,West
11,15,West,365,0,0,1,1,0,0,2,West
10,15,West,564,0,0,0,1,0,0,1,East
11,15,East,563,0,0,1,1,0,0,2,East
12,15,East,562,0,0,1,1,0,0,2,East
13,15,East,561,1,0,1,1,0,1,2,East
14,15,East,560,1,0,1,1,0,1,2,East
15,15,East,559,0,0,1,1,0,0,2,East
16,15,East,558,0,0,1,1,0,0,2,East
16,15,East,558,0,0,1,1,0,0,2,East
8,1,West,99,1,0,1,1,67,1,2,North
8,2,North,98,1,1,0,0,67,2,0,North
8,3,North,97,0,1,0,1,67,1,1,East
9,3,East,96,1,0,1,1,67,1,2,North
9,4,North,95,1,1,0,0,67,2,0,North
9,5,North,94,1,1,1,1,67,2,2,West
8,5,West,293,0,0,1,1,67,0,2,West
7,5,West,292,0,0,1,1,67,0,2,West
6,5,West,391,1,1,1,1,66,2,2,North
6,6,North,490,1,1,0,0,65,2,0,North
6,7,North,589,0,1,0,1,64,1,1,East
