@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute GhostsNum numeric
@attribute LivingGhost numeric
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute PrevScore numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute FoodNum numeric
@attribute FoodDistance numeric
@attribute Action {North,South,East,West,Stop}
@attribute Score numeric

@data
15,3,East,4,4,17,14,13,14,-1,1,0,1,1,0,-1,North,-2
15,4,North,4,4,16,13,12,13,-2,1,1,0,0,0,-1,North,-3
15,5,North,4,4,15,12,11,12,-3,0,1,0,1,0,-1,East,-4
16,5,East,4,4,16,13,12,11,-4,0,0,1,1,0,-1,East,-5
17,5,East,4,4,17,14,13,10,-5,0,0,1,1,0,-1,East,-6
18,5,East,4,4,18,15,14,11,-6,1,0,1,0,0,-1,North,-7
18,6,North,4,4,17,14,13,10,-7,1,1,0,0,0,-1,North,-8
18,7,North,4,4,16,13,12,9,-8,1,1,0,0,0,-1,North,-9
18,8,North,4,4,15,12,11,8,-9,0,1,1,1,0,-1,West,-10
17,8,West,4,4,14,11,10,7,-10,0,0,1,1,0,-1,West,-11
16,8,West,4,4,13,10,9,8,-11,0,0,1,1,0,-1,West,-12
15,8,West,4,4,12,9,8,9,-12,1,0,1,1,0,-1,North,-13
15,9,North,4,4,11,8,7,8,-13,1,1,0,0,0,-1,North,-14
15,10,North,4,4,10,7,6,7,-14,1,1,0,0,0,-1,North,-15
15,11,North,4,4,9,6,5,6,-15,0,1,0,1,0,-1,East,-16
16,11,East,4,4,10,7,6,5,-16,0,0,1,1,0,-1,East,-17
17,11,East,4,4,11,8,7,4,-17,0,0,1,1,0,-1,East,-18
18,11,East,4,4,12,9,8,5,-18,0,0,1,1,0,-1,East,-19
19,11,East,4,4,13,10,9,6,-19,1,0,1,1,0,-1,North,-20
19,12,North,4,4,12,9,8,5,-20,1,1,0,0,0,-1,North,-21
19,13,North,4,4,11,8,7,4,-21,1,1,1,0,0,-1,North,-22
19,14,North,4,4,10,7,6,3,-22,1,1,0,0,0,-1,North,-23
19,15,North,4,4,9,6,5,2,-23,1,1,0,1,0,-1,North,-24
19,16,North,4,4,10,7,6,3,-24,1,1,0,0,0,-1,North,-25
19,17,North,4,4,11,8,7,4,-25,0,1,1,0,0,-1,West,-26
